Pi State ,,,,,,,,,,,,
"Ground 
State",,VPI = 0,VPI = 1,VPI = 2,VPI = 3,VPI = 4,VPI = 5,VPI = 6,VPI = 7,VPI = 8,VPI = 9,VPI = 10
,VX = 0,1.38536E+11,3.38901E+11,3.56819E+11,2.07425E+11,70108562617,12824004455,876671292.6,1036112.766,29764391.77,7154605.078,166978.6178
,VX = 1,1.31231E+11,86474860518,459388673.1,98778794493,1.67481E+11,1.04521E+11,30376025325,3404659439,10251776.46,87997074.53,33589363.7
,VX = 2,2.50094E+11,10024417476,1.17814E+11,90657392763,12750997464,2.21981E+11,2.82101E+11,1.30288E+11,22702456214,417993801.2,429522584.2
,VX = 3,1.98227E+11,22531637686,1.16595E+11,2375115095,1.19143E+11,21981181982,82119011664,2.84565E+11,2.1496E+11,56588192282,2590580563
,VX = 4,57159420830,38684790429,12400222894,32572679478,16115418514,18923572123,34552892250,2644800944,90526269696,1.19973E+11,47220276265
,VX = 5,79164065940,1.27615E+11,1126982105,87761410084,5535090861,83045370438,233321795.6,84367791514,9498380505,1.10241E+11,2.97928E+11
,VX = 6,42892004465,1.21962E+11,36956277857,31540938073,59979048667,14343448844,59776713094,22593062364,41199769493,43506445168,33143854358
,VX = 7,21349668998,92197742255,78667861758,140967014.2,68540975385,9300051769,52640205756,13828760171,57358981644,4703214984,59315322079
,VX = 8,10310596563,61848935748,96770627418,18184020775,28765765454,52538108535,4084151965,58352876800,794404997.1,61598127138,4488247242
,VX = 9,4663949134,36633771822,87764045218,53984039731,841467994,57208680958,13786725758,32209965657,29235876867,21499794035,34831983975
,VX = 10,2017181382,19897417020,66120318406,76544764102,10763040222,24467683396,47951161409,314014756.7,49602083016,3281292471,43732853644
